,0
265,"Electric Power Transmission, Control, and Distribution"
266,Veterinary
267,Specialty Trade Contractors
268,Dairy Product Manufacturing
269,Religious Institutions
270,Dentists
271,Wholesale Food and Beverage
272,Music
273,Primary Metal Manufacturing
274,Building Construction
275,Solar Electric Power Generation
276,Business Supplies & Equipment
277,Child Day Care Services
278,Utility System Construction
279,Nursing Homes and Residential Care Facilities
280,Fuel Cell Manufacturing
281,Fabricated Metal Products
282,Wholesale Chemical and Allied Products
283,Sporting Goods
284,Commercial and Industrial Machinery Maintenance
285,Administration of Justice
286,Legislative Offices
287,Temporary Help Services
288,Insurance and Employee Benefit Funds
289,Construction Hardware Manufacturing
290,Furniture
291,Food and Beverage Retail
292,"Agriculture, Construction, Mining Machinery Manufacturing"
293,Janitorial Services
294,Libraries
295,Engines and Power Transmission Equipment Manufacturing
296,Skiing Facilities
297,Real Estate Agents and Brokers
298,Paper & Forest Products
299,Community Services
300,Animal Feed Manufacturing
301,Metal Treatments
302,Technical and Vocational Training
303,Media and Telecommunications
304,Spring and Wire Product Manufacturing
305,Arts & Crafts
306,Fossil Fuel Electric Power Generation
307,"Wholesale Hardware, Plumbing, Heating Equipment"
308,Emergency and Relief Services
309,Building Equipment Contractors
310,Landscaping Services
311,Agricultural Chemical Manufacturing
312,Coal Mining
313,Pet Services
314,Tobacco Manufacturing
315,Satellite Telecommunications
316,Utilities Administration
317,Wholesale Motor Vehicles and Parts
318,Steam and Air-Conditioning Supply
319,Household Appliance Manufacturing
320,Philanthropy
321,Public Policy
322,Economic Programs
323,Hydroelectric Power Generation
324,"Highway, Street, and Bridge Construction"
325,Audio and Video Equipment Manufacturing
326,Housing Programs
327,Services for the Elderly and Disabled
328,Apparel Manufacturing
329,Metalworking Machinery Manufacturing
330,Administrative and Support Services
331,Water Supply and Irrigation Systems
332,"Oil, Gas, and Mining"
333,Rubber Products Manufacturing
334,Chemical Raw Materials Manufacturing
335,Meat Products Manufacturing
336,Office Furniture and Fixtures Manufacturing
337,"Claims Adjusting, Actuarial Services"
338,Environmental Quality Programs
339,Commercial and Service Industry Machinery Manufacturing
340,Plastics and Rubber Product Manufacturing
341,"Farming, Ranching, Forestry"
342,Climate Data and Analytics
343,Cosmetics
344,Interior Design
345,Zoos and Botanical Gardens
346,Commercial Real Estate
347,Interurban and Rural Bus Services
